cycle,state,modeldate,candidate_name,candidate_id,pct_estimate,pct_trend_adjusted,timestamp,comment,election_date,election_qdate,last_qdate,last_enddate,_medpoly2,trend_medpoly2,_shortpoly0,trend_shortpoly0,sum_weight_medium,sum_weight_short,sum_influence,sum_nat_influence,_minpoints,_defaultbasetime,_numloops,_state_houseeffects_weight,_state_trendline_weight,_out_of_state_house_discount,_house_effects_multiplier,_attenuate_endpoints,_nonlinear_polynomial_degree,_shortpoly_combpoly_weight,_nat_shortpoly_combpoly_weight
2016,Minnesota,3/3/2016,Donald Trump,9849,40.25981,38.38002,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,73,1/20/2016,,,40.259812,38.380024,1.084677,1.084677,1.084677,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Montana,3/3/2016,Donald Trump,9849,55.84407,52.12106,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,13,11/23/2015,,,55.844066,52.121059,.4694052,.4694052,.4694052,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,National,3/3/2016,Donald Trump,9849,42.9214,42.44001,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,115,3/3/2016,42.447379,42.386132,43.395429,42.493883,54.51669,62.48756,8.461908,8.461908,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Nevada,3/3/2016,Donald Trump,9849,46.28437,41.72754,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,6,11/16/2015,,,46.284366,41.727535,.7816904,.7816904,.7816904,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,New Hampshire,3/3/2016,Donald Trump,9849,41.26325,39.64256,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,109,2/28/2016,40.440873,39.552022,41.427723,39.660664,9.321606,9.321606,3.470526,.8122557,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,New Jersey,3/3/2016,Donald Trump,9849,38.23107,37.87658,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,111,2/28/2016,,,38.231072,37.876576,1.059748,1.059748,1.059748,.8616768,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,New York,3/3/2016,Donald Trump,9849,35.19905,34.54594,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,115,3/3/2016,,,35.199056,34.545939,2.292912,2.393991,1.376205,1.175688,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,North Carolina,3/3/2016,Donald Trump,9849,44.26028,43.30642,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,102,2/19/2016,43.419103,42.84673,44.428513,43.398352,7.017797,7.017797,5.563706,1.608383,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Ohio,3/3/2016,Donald Trump,9849,43.62766,43.08505,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,103,2/20/2016,,,43.627659,43.085048,2.498985,2.498985,2.428324,1.015099,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Pennsylvania,3/3/2016,Donald Trump,9849,42.75623,42.34789,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,116,3/2/2016,,,42.756226,42.347888,1.499532,1.499532,1.172013,1.186391,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,South Carolina,3/3/2016,Donald Trump,9849,46.28437,42.67881,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,6,11/16/2015,,,46.284366,42.67881,.7809128,.7809128,.7809128,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Texas,3/3/2016,Donald Trump,9849,46.98365,46.2808,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,107,2/22/2016,,,46.983646,46.280804,1.799316,1.799316,1.799316,1.126718,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Utah,3/3/2016,Donald Trump,9849,37.2043,34.74948,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,34,12/14/2015,,,37.204296,34.749477,.5865651,.5865651,.5865651,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Virginia,3/3/2016,Donald Trump,9849,37.47325,35.77851,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,105,2/22/2016,37.289689,36.495688,37.509958,35.635076,2.093773,2.093773,1.360229,.3894523,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,West Virginia,3/3/2016,Donald Trump,9849,61,60.41967,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,107,2/22/2016,,,61,60.419666,.5626372,.5626372,.5626372,.3523191,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Wisconsin,3/3/2016,Donald Trump,9849,39.85077,38.14385,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,105,2/21/2016,39.553864,38.729296,39.910153,38.026762,3.306806,3.306806,2.057189,.574262,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Alabama,3/3/2016,Hillary Rodham Clinton,9207,32.67097,32.84491,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,66,1/12/2016,,,32.670974,32.844913,1.293506,1.293506,1.293506,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Alaska,3/3/2016,Hillary Rodham Clinton,9207,44.82401,45.08152,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,63,1/12/2016,,,44.824013,45.081524,.8274046,.8274046,.8274046,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Arizona,3/3/2016,Hillary Rodham Clinton,9207,42,40.0138,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,30,12/9/2015,,,42,40.013798,.8299773,.8299773,.8299773,0,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Colorado,3/3/2016,Hillary Rodham Clinton,9207,42.03014,41.31678,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,113,2/29/2016,,,42.030141,41.31678,2.209496,2.209496,1.012831,.6910744,5,20,5,.5,.5,.02,1,yes,2,.8,.5
2016,Florida,3/3/2016,Hillary Rodham Clinton,9207,44.90705,44.34629,18:51:39 14 Jun 2020,full archive 1968-2016,11/8/2016,448,110,2/25/2016,44.525869,44.386938,44.983282,44.338154,4.328866,4.328866,2.770836,.9420227,5,20,5,.5,.5,.02,1,yes,2,.8,.5
